name,restaurant,phone,rating,unanswered_count,city
Primo Wisseloord,Primo Wisseloord,+31356264444,,,Hilversum
David's Bar & Restaurant,David's Bar & Restaurant,+31302057432,,,Hilversum
Mahadev Indian kitchen,Mahadev Indian kitchen,+31353034210,4.2,,Hilversum
Mu Xin,Mu Xin,+31356245999,4.7,,Hilversum
Pannenkoekenhuis 't Bospandje,Pannenkoekenhuis 't Bospandje,+31356245695,4.4,,Hilversum
La Vespa,La Vespa,+31358870678,,,Hilversum
De Groene Afslag | Restaurant,De Groene Afslag | Restaurant,+31358888877,,,Hilversum
Teahouse 't Bluk,Teahouse 't Bluk,+31355317592,,,Hilversum
Brasserie Zonnestraal,Brasserie Zonnestraal,+31355385402,4.1,,Hilversum
UmiYip,UmiYip,+31356214627,5,,Hilversum
Estanbul Pide,Estanbul Pide,+31614683222,4.7,,Hilversum
Bij de Tuinman,Bij de Tuinman,+31352062333,4.4,,Hilversum
Zonnestraal Hilversum B.V.,Zonnestraal Hilversum B.V.,+31355385400,4.5,,Hilversum
Taaartjes Hilversum,Taaartjes Hilversum,+31652310898,4.9,,Hilversum
Natalia's Kitchen,Natalia's Kitchen,+31630288269,4.9,,Hilversum
Vega Paradijs,Vega Paradijs,+31618338367,4.9,,Hilversum
Snackbar De Admiraal,Snackbar De Admiraal,+31356211445,4.4,,Hilversum
Sinar Djaya,Sinar Djaya,+31356210182,4.6,,Hilversum
Trattoria Bella Napoli - Italiaans/Braziliaans restaurant,Trattoria Bella Napoli - Italiaans/Braziliaans restaurant,+31202310521,4.8,,Hilversum
Side Levensmiddelen,Side Levensmiddelen,+31356233372,4.8,,Hilversum
Restaurant Vliegveld Hilversum,Restaurant Vliegveld Hilversum,+31357009759,4.2,,Hilversum
Mans Brasserie,Mans Brasserie,+31356224061,4.5,,Hilversum
Lunchcafé Piment,Lunchcafé Piment,+31627341234,4.9,,Hilversum
Cigkoftem Hilversum,Cigkoftem Hilversum,+31358795893,4.7,,Hilversum
Waroeng Amanah,Waroeng Amanah,+31357737894,4.8,,Hilversum
Mc Crispy,Mc Crispy,+31356215188,4.6,,Hilversum
Yasmin Libanees Restaurant,Yasmin Libanees Restaurant,+31612255229,4.9,,Hilversum
Brasserie Tuinzicht,Brasserie Tuinzicht,+31357608234,,,Hilversum
t Pandje,t Pandje,+31356214768,4.3,,Hilversum
David's Bar & Restaurant,David's Bar & Restaurant,+31352057432,4.3,,Hilversum
Cafetaria Noord,Cafetaria Noord,+31357511083,4.3,,Hilversum
Snackbar Noord,Snackbar Noord,+31356267103,4.4,,Hilversum
Old Tbilisi "Georgian Cuisine",Old Tbilisi "Georgian Cuisine",+31630709427,4.7,,Hilversum
Snackbar Graaf Jacob🍟,Snackbar Graaf Jacob🍟,+31356835991,4.3,,Hilversum
Spandershoeve,Spandershoeve,+31356211130,4.5,,Hilversum
Siam Secret 🇹🇭,Siam Secret 🇹🇭,+31356470603,4.5,,Hilversum
Lunch Restaurant Ketelhuis aan de Werf,Lunch Restaurant Ketelhuis aan de Werf,+31353031381,5,,Hilversum
La Place,La Place,+31355314644,3.8,,Laren
Van die Vegans,Van die Vegans,+31618492017,4.8,,Hilversum
Talia Delicious,Talia Delicious,+31353030103,4.8,,Hilversum
Ninh Binh Hilversum,Ninh Binh Hilversum,+31356214213,4.7,,Hilversum
De Sperwershof,De Sperwershof,+31356561012,4.5,,s-Graveland
Café-restaurant brambergen,Café-restaurant brambergen,+31353031306,4.1,,s-Graveland
Aziatisch Restaurant Dynasty,Aziatisch Restaurant Dynasty,+31356561156,4,,Kortenhoef
Pizzeria shoarma Pronto Kortenhoef,Pizzeria shoarma Pronto Kortenhoef,+31356561677,3.8,,Kortenhoef
Primo Wisseloord,Primo Wisseloord,+31642942258,4.5,,Hilversum
Anjappar Hilversum - Chettinad South Indian restaurant,Anjappar Hilversum - Chettinad South Indian restaurant,+31352033188,4.8,,Hilversum
